"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L03F6075",0.620201618068887,1.62470555163789,2.05944207325201,0.788905681174301,0.430167134996136,NA
"L03F6076",91.1464948019184,0.0893062411837213,0.215897971767132,0.413650209183286,0.679130296573612,0.878713362820234
"L03F6077",2.83465807364218,-2.86413096789906,1.04044557479731,-2.75279268543867,0.00590893015246783,0.0691991867633686
"L03F6078",29.964350489624,-0.0566546563185041,0.529094863843896,-0.10707844696678,0.914726745675494,0.966461563531233
"L03F6079",23.7761979655437,0.582891506662311,1.223878570122,0.476265800294392,0.633885026866312,0.870845097478739
"L03F6080",0.0126096019526803,0,8.31869170886112,0,1,NA
"L03F6081",0.0598289343445374,0,8.31869170885522,0,1,NA
"L03F6082",14.8963473568135,-0.194780051024371,0.536990567637061,-0.362725274452155,0.71681011746616,0.895120046487741
"L03F6083",7.30932339549917,-0.62649797724669,0.630448776869047,-0.993733353497841,0.320352700187563,0.689990431173212
"L03F6084",3.74695020004084,-0.539277446710628,0.888639761106403,-0.606857210664532,0.543945676922822,0.810131859246756
"L03F6085",15.6380983628696,3.78044999026274,1.32358525268308,2.85621948612625,0.00428718652193069,0.0666895681189219
"L03F6086",1.31424647534424,0.268186882062537,1.77887070940086,0.150762436328419,0.880163118968256,0.96267841137153
"L03F6087",190.567889425436,1.86074262140457,0.581442946195826,3.20021531532672,0.00137324956798788,0.0320424899197171
"L03F6088",0.108775057811797,-0.673771428150579,8.31166858933622,-0.0810633173000931,0.935391598198079,NA
"L03F6089",130.596779378784,0.280775768685831,0.233053254634659,1.2047708543096,0.228291774434893,0.648260059097032
"L03F6090",63.4253986936977,-0.359170676685918,0.324722848172503,-1.10608378408628,0.268690256756458,0.671725641891146
"L03F6091",0.674545220093488,-0.166840796756519,1.52563756226097,-0.109358081423522,0.912918480460121,NA
"L03F6092",2.13593497742771,-0.926286905786856,1.00713644485647,-0.919723350810592,0.357717346913037,0.736476890703312
"L03F6093",0.728519678215106,1.8109048426507,2.42149175888373,0.747846791551955,0.454552574764321,0.785972650281136
"L03F6094",0.262593676086015,0.220574928706359,3.57276393259462,0.0617378961688556,0.950771560737599,NA
"L03F6095",0.241023475568918,1.21080548943845,4.93072038354255,0.245563608408985,0.806020062997126,NA
"L03F6096",185.02212215736,0.146540141940433,0.257191319178815,0.569770948756435,0.568833061924484,0.829548215306539
"L03F6097",0.0152171153062839,0,8.31869170886113,0,1,NA
"L03F6098",118.922407827521,0.139915225972017,0.319706230730408,0.437636844463005,0.66164955797167,0.87366716882873
"L03F6099",0.63342784799259,-0.435243063132946,1.80752400520899,-0.240795177202984,0.809713867696159,NA
"L03F6100",0.0546009046805134,0,8.31869170885761,0,1,NA
"L03F6101",3.00587244379333,-1.23599681555654,0.817730106859018,-1.51149725953485,0.130661806297258,0.541413712334351
"L03F6102",17.3216602538056,-0.261458016002969,0.418775336015157,-0.624339576659085,0.532404597861081,0.810131859246756
"L03F6103",3.29560366823982,-0.262337422599181,0.838418154924622,-0.312895684639327,0.754359916245856,0.900233057767444
"L03F6104",3.65756148988512,-1.12839078275804,1.03530200360123,-1.08991461315926,0.275750758848707,0.675728927191629
"L03F6105",0.0255531339281189,0,8.31869170886112,0,1,NA
"L03F6106",26.966758525713,0.160984807840506,0.465656335146633,0.345715918993807,0.729556219515296,0.895120046487741
"L03F6107",17.4269226908661,-0.85423127441406,0.476714158238592,-1.79191504940897,0.0731465748910527,0.365732874455263
"L03F6108",0.00764300716804234,0,8.31869170886112,0,1,NA
"L03F6109",3.03025548776431,-0.234410633299285,1.31947619764755,-0.177654309882367,0.858994469771268,0.94744644309311
"L03F6110",0.003793630537578,0,8.31869170886113,0,1,NA
"L03F6111",560.874818936258,-0.506784656941415,0.11401223403776,-4.44500242643759,8.78908753610608e-06,0.00123047225505485
"L03F6112",13.9112214453026,0.391179027704445,0.504168747146054,0.775889084594773,0.437814478093995,0.782239516271483
"L03F6113",0.0265730511258753,0,8.31869170886112,0,1,NA
"L03F6114",0.0892169840709531,-0.876199359273705,8.29094721638489,-0.105681454290545,0.915835095270787,NA
"L03F6115",0.0333124730983202,0,8.31869170886112,0,1,NA
"L03F6116",4.28211858070293,1.12090502949298,1.33798549749507,0.837755739200085,0.402167901547097,0.754825645703748
"L03F6117",0.177630639281189,-1.82585924777967,5.08362495280138,-0.359164821309941,0.719471791732102,NA
"L03F6118",0.46726913775243,-0.598840029159426,2.52097210852779,-0.237543298132377,0.81223533318241,NA
"L03F6119",7.06470613814913,0.93712989998052,0.594967911509412,1.57509318040877,0.115234937943797,0.50415285350411
"L03F6120",0.100514870734525,1.15932730885946,8.31018591852041,0.139506783629923,0.889049695798083,NA
"L03F6121",1.39674743065663,0.996661534073815,2.10285407802236,0.473956583336078,0.635530868098763,0.870845097478739
"L03F6122",0.894450077793838,-0.594958167031438,1.67653769293502,-0.354873123067027,0.722684644386571,0.895120046487741
"L03F6123",4.82224826655671,0.659158539266161,0.824313481339965,0.799645467637704,0.423916236356125,0.770756793374772
"L03F6124",9.31438120556646,0.977853108148575,0.648328884638305,1.50826707141717,0.1314861872812,0.541413712334351
"L03F6125",2.443000989343,0.148521362519257,0.838867726883232,0.177049799103704,0.859469273377321,0.94744644309311
"L03F6126",1.07390005511089,-1.70801705659498,1.24939454693971,-1.36707580546003,0.171601546005233,0.600147826782609
"L03F6127",3.60263489495732,0.224097921799,0.891877872711346,0.251265255766166,0.801609035501643,0.919378144467028
"L03F6128",0.0355843969621267,-0.6737714270345,8.31166858946613,-0.0810633171645475,0.935391598305874,NA
"L03F6129",21.6583189315097,0.779672047492601,0.584296444648409,1.33437753153154,0.182080159792187,0.600147826782609
"L03F6130",0.104585197218456,0.815205980383021,8.03861970101829,0.101411188823842,0.919224054868118,NA
"L03F6131",23.2505808926022,0.412654872413234,0.598243156359935,0.689777840375257,0.490333906093814,0.785972650281136
"L03F6132",19.8071730588802,0.0587466853242538,0.582354745104369,0.100877834031773,0.919647439213068,0.966461563531233
"L03F6133",47.1721310348185,-0.582512938614165,0.346363264520189,-1.68179769127973,0.0926080765789476,0.418230023259763
"L03F6134",151.846637061785,0.00635366028519673,0.210673801270822,0.0301587584543989,0.97594043954325,0.990084503884457
"L03F6135",0.140615841089767,-1.02221039122753,8.30712677104133,-0.123052220027623,0.902065746536138,NA
"L03F6136",2.18834872753936,-0.558526321497637,1.01201796361007,-0.551893683295171,0.581021196413781,0.830030280591116
"L03F6137",0.190043213008094,-0.678831814126478,4.32798263494644,-0.156847166771241,0.875365299153266,NA
"L03F6138",0.0365427325715643,0,8.31869170886113,0,1,NA
"L03F6139",0.822712184755888,1.63082993564037,1.92892099067047,0.845462278407531,0.397852785233364,0.754825645703748
"L03F6140",2.31052377758311,0.116636903715742,1.01047358678999,0.115427958969483,0.908105919015084,0.966461563531233
"L03F6141",0.177705029783738,0,4.72801144464773,0,1,NA
"L03F6142",0.0338088442837129,-0.673771427625973,8.31166858939729,-0.0810633172363806,0.935391598248747,NA
"L03F6143",0.0247372451796341,0,8.31869170885598,0,1,NA
"L03F6144",0.05193672175538,0,8.31869170885598,0,1,NA
"L03F6145",0.0390393266779802,0,8.31869170886113,0,1,NA
"L03F6146",0.0832765641481509,0,8.31869170885105,0,1,NA
"L03F6147",0.0174709476248054,-0.673771426768642,8.31166858949708,-0.0810633171322595,0.935391598331551,NA
"L03F6148",0.27050918274392,0.938682966088174,8.29054190984258,0.113223354552223,0.909853480466423,NA
"L03F6149",1.13791678110382,-1.0681249428933,1.26091430071041,-0.847103520272164,0.396937423145501,0.754825645703748
"L03F6150",8.16234358967942,-1.67215716108233,0.563222361465425,-2.96891117165805,0.00298856974716757,0.0522999705754324
"L03F6151",0.112678492692424,-1.0222104249404,8.30712677064951,-0.123052224091733,0.902065743317905,NA
"L03F6152",0.0551620942610039,0,8.31869170886112,0,1,NA
"L03F6153",16.2764287267666,0.690279857887024,0.608089856266677,1.13516094829298,0.256307888516616,0.664501933191228
