"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L03F6075",0.620201618068887,2.16132408147545,1.88583771589554,1.14608169263869,0.251761351825512,0.814836098293274
"L03F6076",91.1464948019184,0.548448801945403,0.266679761674852,2.0565820162015,0.0397264495821884,0.421935256474719
"L03F6077",2.83465807364218,-0.125843573332496,0.972081368174051,-0.129457859653127,0.896995367419725,1
"L03F6078",29.964350489624,1.06589630331302,0.611717180195033,1.74246586138579,0.0814269600715976,0.497412516959107
"L03F6079",23.7761979655437,0.315068894567003,1.32878952154424,0.237109707337885,0.812571681716105,1
"L03F6080",0.0126096019526803,0,8.29839221019227,0,1,1
"L03F6081",0.0598289343445374,0,8.29839140531815,0,1,1
"L03F6082",14.8963473568135,-0.161659982398212,0.691858354380794,-0.233660519345605,0.815248540314197,1
"L03F6083",7.30932339549917,1.73711793017407,0.821849846284577,2.11366825464195,0.0345436117053343,0.418593996265604
"L03F6084",3.74695020004084,1.79492708700595,1.01052201908794,1.77623748231235,0.0756937827054521,0.472665620894046
"L03F6085",15.6380983628696,4.66235490879423,1.13627659898092,4.10318659468627,4.07498334309929e-05,0.0103233768046476
"L03F6086",1.31424647534424,4.8101911632219,1.88412316998824,2.55301311498225,0.0106795474846262,0.266564414792584
"L03F6087",190.567889425436,2.48686317862298,0.627244960323509,3.96473999143867,7.34759914921536e-05,0.0103233768046476
"L03F6088",0.108775057811797,0,8.29839230925786,0,1,1
"L03F6089",130.596779378784,-0.226813606130184,0.302710862436721,-0.749274751174802,0.453691622670281,0.870101060442836
"L03F6090",63.4253986936977,-0.0391844198352392,0.415309111312523,-0.0943500124796266,0.924831122854737,1
"L03F6091",0.674545220093488,1.11582259767093,1.51509000388947,0.736472813368474,0.461443006681583,0.870101060442836
"L03F6092",2.13593497742771,1.08014653123777,1.05624273895517,1.02263096483507,0.306482363281456,0.858693538673741
"L03F6093",0.728519678215106,2.95206876710344,2.12145653299648,1.39152922588225,0.164065003542053,0.735755550530727
"L03F6094",0.262593676086015,4.33552297651153,3.42113244587393,1.26727715021393,0.205056207849394,0.782184323669754
"L03F6095",0.241023475568918,4.87033166007154,4.84255341788178,1.00573627997312,0.31454244620143,0.858693538673741
"L03F6096",185.02212215736,0.318169528481832,0.302811006078667,1.05071982885317,0.293387286223434,0.858693538673741
"L03F6097",0.0152171153062839,0,8.29839222431989,0,1,1
"L03F6098",118.922407827521,-0.0259636352784301,0.396750264436028,-0.0654407510360122,0.947823078963045,1
"L03F6099",0.63342784799259,2.84171897418049,1.70290737944234,1.66874546935788,0.0951678337992681,0.557128360366549
"L03F6100",0.0546009046805134,0,8.29839187628801,0,1,1
"L03F6101",3.00587244379333,0.977229803015288,0.877674964795965,1.11343019023274,0.265523714832353,0.837608082675322
"L03F6102",17.3216602538056,0.136467262040695,0.5378760844577,0.253715058140732,0.799715699920259,1
