,location,thaw.temp,combined_factor
PT1_0_R1,35_meters,frozen,frozen35_meters
PT1_0_R2,35_meters,frozen,frozen35_meters
PT1_0_R3,35_meters,frozen,frozen35_meters
PT1_9.6_R1,35_meters,thawing,thawing35_meters
PT1_9.6_R2,35_meters,thawing,thawing35_meters
PT1_9.6_R3,35_meters,thawing,thawing35_meters
PT1_9.6_R4,35_meters,thawing,thawing35_meters
PT1_15.4_R1,35_meters,thawed,thawed35_meters
PT1_15.4_R2,35_meters,thawed,thawed35_meters
PT1_15.4_R3,35_meters,thawed,thawed35_meters
PT1_15.4_R4,35_meters,thawed,thawed35_meters
PT2_0_R1,45_meters,frozen,frozen45_meters
PT2_0_R2,45_meters,frozen,frozen45_meters
PT2_0_R3,45_meters,frozen,frozen45_meters
PT2_9.6_R1,45_meters,thawing,thawing45_meters
PT2_9.6_R2,45_meters,thawing,thawing45_meters
PT2_9.6_R3,45_meters,thawing,thawing45_meters
PT2_9.6_R4,45_meters,thawing,thawing45_meters
PT2_15.4_R1,45_meters,thawed,thawed45_meters
PT2_15.4_R2,45_meters,thawed,thawed45_meters
PT2_15.4_R3,45_meters,thawed,thawed45_meters
PT2_15.4_R4,45_meters,thawed,thawed45_meters
PT3_0_R1,60_meters,frozen,frozen60_meters
PT3_0_R2,60_meters,frozen,frozen60_meters
PT3_0_R3,60_meters,frozen,frozen60_meters
PT3_9.6_R1,60_meters,thawing,thawing60_meters
PT3_9.6_R2,60_meters,thawing,thawing60_meters
PT3_9.6_R3,60_meters,thawing,thawing60_meters
PT3_9.6_R4,60_meters,thawing,thawing60_meters
PT3_15.4_R1,60_meters,thawed,thawed60_meters
PT3_15.4_R2,60_meters,thawed,thawed60_meters
PT3_15.4_R3,60_meters,thawed,thawed60_meters
PT3_15.4_R4,60_meters,thawed,thawed60_meters
PT4_0_R1,83_meters,frozen,frozen83_meters
PT4_0_R2,83_meters,frozen,frozen83_meters
PT4_0_R3,83_meters,frozen,frozen83_meters
PT4_9.6_R1,83_meters,thawing,thawing83_meters
PT4_9.6_R2,83_meters,thawing,thawing83_meters
PT4_9.6_R3,83_meters,thawing,thawing83_meters
PT4_9.6_R4,83_meters,thawing,thawing83_meters
PT4_15.4_R1,83_meters,thawed,thawed83_meters
PT4_15.4_R2,83_meters,thawed,thawed83_meters
PT4_15.4_R3,83_meters,thawed,thawed83_meters
PT4_15.4_R4,83_meters,thawed,thawed83_meters
PT5_0_R1,new_tunnel,frozen,frozennew_tunnel
PT5_0_R2,new_tunnel,frozen,frozennew_tunnel
PT5_0_R3,new_tunnel,frozen,frozennew_tunnel
PT5_9.6_R1,new_tunnel,thawing,thawingnew_tunnel
PT5_9.6_R2,new_tunnel,thawing,thawingnew_tunnel
PT5_9.6_R3,new_tunnel,thawing,thawingnew_tunnel
PT5_9.6_R4,new_tunnel,thawing,thawingnew_tunnel
PT5_15.4_R1,new_tunnel,thawed,thawednew_tunnel
PT5_15.4_R2,new_tunnel,thawed,thawednew_tunnel
PT5_15.4_R3,new_tunnel,thawed,thawednew_tunnel
PT5_15.4_R4,new_tunnel,thawed,thawednew_tunnel
