"","res83thawed_frozen.rownames","res83thawing_frozen.log2FoldChange","res83thawing_frozen.padj","res83thawed_frozen.log2FoldChange","res83thawed_frozen.padj"
"1","L03F6075",2.16132408147545,0.814836098293274,-1.74751716020275,NA
"2","L03F6076",0.548448801945403,0.421935256474719,0.188393813080125,0.591433219159691
"3","L03F6077",-0.125843573332496,1,0.750765751866574,0.570414452866798
"4","L03F6078",1.06589630331302,0.497412516959107,0.815952740492184,0.321540684396554
"5","L03F6079",0.315068894567003,1,-0.770874436509381,0.699984142985091
"6","L03F6080",0,1,0,NA
"7","L03F6081",0,1,0,NA
"8","L03F6082",-0.161659982398212,1,0.528650617047275,0.570414452866798
"9","L03F6083",1.73711793017407,0.418593996265604,1.77106677551218,0.0834428232238547
"10","L03F6084",1.79492708700595,0.472665620894046,-0.0558208938449526,0.959116110655188
"11","L03F6085",4.66235490879423,0.0103233768046476,2.62213365822729,0.0995579368018601
"12","L03F6086",4.8101911632219,0.266564414792584,3.60474425196065,NA
"13","L03F6087",2.48686317862298,0.0103233768046476,1.8673133584502,0.0380309069660165
"14","L03F6088",0,1,0,NA
"15","L03F6089",-0.226813606130184,0.870101060442836,0.162064700236646,0.690918021943615
"16","L03F6090",-0.0391844198352392,1,-0.0250342903136198,0.956887240318067
"17","L03F6091",1.11582259767093,0.870101060442836,-0.550739500945608,NA
"18","L03F6092",1.08014653123777,0.858693538673741,0.245273982402675,0.934136737704712
"19","L03F6093",2.95206876710344,0.735755550530727,0.651788848538934,NA
"20","L03F6094",4.33552297651153,0.782184323669754,0.397976358939622,NA
"21","L03F6095",4.87033166007154,0.858693538673741,2.2036895686038,NA
"22","L03F6096",0.318169528481832,0.858693538673741,0.0742103510900467,0.934136737704712
"23","L03F6097",0,1,0,NA
"24","L03F6098",-0.0259636352784301,1,0.248940037717601,0.675636112464375
"25","L03F6099",2.84171897418049,0.557128360366549,0.205383423065442,NA
"26","L03F6100",0,1,2.05880341417515,NA
"27","L03F6101",0.977229803015288,0.837608082675322,0.49758630637177,0.690918021943615
"28","L03F6102",0.136467262040695,1,-0.0866532680948395,0.954158517365599
"29","L03F6103",-0.144900804148794,1,0.11945502340007,0.954158517365599
"30","L03F6104",1.24825643538463,0.837608082675322,0.183350536052675,0.954158517365599
"31","L03F6105",0,1,0,NA
"32","L03F6106",0.285836051481354,0.917741566079456,0.0862283960933301,0.954158517365599
"33","L03F6107",0.430727534919267,0.870101060442836,-0.468299804901102,0.570414452866798
"34","L03F6108",6.45616205608907,0.858693538673741,0.375726682742919,NA
"35","L03F6109",0.40886846764656,1,-0.858250470866725,0.649698507632808
"36","L03F6110",0,1,0,NA
"37","L03F6111",-0.315617284357805,0.418593996265604,-0.265954584348141,0.148853317016192
"38","L03F6112",0.716177257806993,0.782184323669754,0.898863014073501,0.202795762266646
