"","resNewThawed_frozen.rownames","resNewThawing_frozen.log2FoldChange","resNewThawing_frozen.padj","resNewThawed_frozen.log2FoldChange","resNewThawed_frozen.padj"
"1","L03F6075",-1.82904288906757,1,0.722115470002502,1
"2","L03F6076",0.0785172560386548,1,-0.258237116476277,1
"3","L03F6077",-1.50076006023961,1,-1.33654580786924,1
"4","L03F6078",-0.351340290166323,1,-0.672670869010806,1
"5","L03F6079",0.896703164009828,1,0.0299660270099049,1
"6","L03F6080",0,1,0,1
"7","L03F6081",0,1,0,1
"8","L03F6082",-0.504155898634288,1,-0.525464822181386,1
"9","L03F6083",-0.219118800562,1,-0.105408176153671,1
"10","L03F6084",0.2187353593469,1,0.246210802019199,1
"11","L03F6085",0.267128834070913,1,0.826251515763954,1
"12","L03F6086",-0.714308422704291,1,0.746021416999373,1
"13","L03F6087",0.757534431711678,1,0.878523222508814,1
"14","L03F6088",1.73004887570812,1,0.183483086884873,1
"15","L03F6089",-0.0468118928279173,1,0.0300582525868606,1
"16","L03F6090",0.0800720379879893,1,-0.196896483430791,1
"17","L03F6091",0.186597710812876,1,-0.187942122089929,1
"18","L03F6092",-0.239986129610255,1,-1.26743042248015,1
"19","L03F6093",2.37794364112504,1,0,1
"20","L03F6094",0.0469658455419677,1,-0.046458062854539,1
"21","L03F6095",0,1,0.923992155646912,1
"22","L03F6096",-0.246526809420792,1,-0.205999253412839,1
"23","L03F6097",0,1,0,1
"24","L03F6098",-0.236736768991846,1,-0.283810870290042,1
"25","L03F6099",-0.305709936209246,1,-0.635223075154925,1
"26","L03F6100",0,1,0,1
"27","L03F6101",0.112672058860778,1,0.00645514579061797,1
"28","L03F6102",-0.0838122310058203,1,-0.0984437654554853,1
"29","L03F6103",-2.30346601495759,1,-1.06681441671356,1
"30","L03F6104",0.627418449602148,1,0.33979466653086,1
"31","L03F6105",0,1,0,1
"32","L03F6106",-0.348772506440286,1,-0.616341754542372,1
"33","L03F6107",0.0460797223991271,1,-0.469139966580637,1
"34","L03F6108",0,1,0,1
"35","L03F6109",-0.317135102975266,1,-0.900038450642807,1
"36","L03F6110",0,1,0,1
"37","L03F6111",-0.209637516693192,1,-0.176237561301233,1
"38","L03F6112",-0.251906679832204,1,-0.000379157567384932,1
"39","L03F6113",0,1,1.64618888122733,1
"40","L03F6114",0.768290214853807,1,0.225427053656632,1
"41","L03F6115",0,1,0,1
"42","L03F6116",0.335920511639751,1,0.692011458891717,1
"43","L03F6117",0.768295483650471,1,0.138668385920098,1
"44","L03F6118",-0.716549579656639,1,-0.340799298210576,1
"45","L03F6119",0.0372156479300593,1,0.248107770782256,1
"46","L03F6120",0.768282162198058,1,0.0332624198985813,1
"47","L03F6121",1.57339115950881,1,2.58532563545903,1
"48","L03F6122",0.0612548084791387,1,0.351469680432455,1
"49","L03F6123",-0.565385547661664,1,-0.911613307607387,1
"50","L03F6124",-0.347722842637659,1,-0.880738147318094,1
"51","L03F6125",-0.0870953061641995,1,-1.04564743151349,1
"52","L03F6126",-0.707180993919423,1,-1.79364173109618,1
"53","L03F6127",-1.6600695684142,1,-1.76666608322091,0.978812189572565
"54","L03F6128",0.04696409182522,1,-1.44158034663307,1
"55","L03F6129",-0.833075089960729,1,-1.27740508068677,0.978812189572565
"56","L03F6130",1.73004170209916,1,1.31047497106665,1
"57","L03F6131",-1.05476489807114,1,-1.53059273881165,0.573825567329823
"58","L03F6132",-0.811154956737916,1,-1.57908435054303,0.56012074172036
"59","L03F6133",-0.579354978627541,1,-0.20768756717281,1
"60","L03F6134",-0.265854311860849,1,-0.100378652444207,1
"61","L03F6135",0,1,0.354181974148268,1
"62","L03F6136",-1.14751066404536,1,-0.852046182641886,1
"63","L03F6137",0.760855511526549,1,-0.841483600335885,1
"64","L03F6138",0,1,0,1
"65","L03F6139",-1.47306202885431,1,-1.85930060477267,1
"66","L03F6140",-0.488041569286069,1,-0.838373073958027,1
"67","L03F6141",-0.105612989586399,1,-1.64945251402713,1
"68","L03F6142",-0.789822940603992,1,-2.27836737906228,1
"69","L03F6143",0,1,0,1
"70","L03F6144",0,1,0.354181490013819,1
"71","L03F6145",0,1,0.354181972809038,1
"72","L03F6146",0,1,0.354181126587635,1
"73","L03F6147",0,1,0,1
"74","L03F6148",0,1,0,1
"75","L03F6149",1.95973837176116,1,2.31566245146077,1
"76","L03F6150",0.442531198513136,1,0.705998674597046,1
"77","L03F6151",0.046964087636935,1,0.527071617333236,1
"78","L03F6152",0,1,0.354181972765354,1
"79","L03F6153",-0.144602605342679,1,-0.123439207303023,1
"80","L03F6154",-0.196386002040969,1,-0.471487488334006,1
"81","L03F6155",-0.121195755526005,1,-0.151419509764525,1
"82","L03F6156",0.229839512969312,1,0.0691433943409952,1
"83","L03F6157",-0.540217310035241,1,-0.379657278410807,1
"84","L03F6158",-0.893936877552694,1,-1.12903218986394,1
"85","L03F6159",-1.7265952495258,1,-1.08239820970771,1
"86","L03F6160",-1.84142998795015,1,-1.95107497466689,0.56012074172036
"87","L03F6161",-1.53400906433231,1,-0.913497992469001,1
"88","L03F6162",1.37786317767067,1,1.61099055176402,1
"89","L03F6163",-0.943318561894249,1,-1.02545365950224,1
"90","L03F6164",0.070908682337057,1,-0.0536256250587897,1
"91","L03F6165",-1.07720950473133,1,-0.589133084464459,1
"92","L03F6166",-0.56305182969626,1,-0.121523134778291,1
"93","L03F6167",-0.8172449224657,1,1.22033492045537,1
"94","L03F6168",0.0469640920149513,1,-0.607576687404256,1
"95","L03F6169",-0.401840837415123,1,-0.441562267277789,1
"96","L03F6170",-0.21537135525634,1,-0.297418445040251,1
"97","L03F6171",-0.505490035230007,1,-0.991770135443179,1
"98","L03F6172",-0.65654599276747,1,-1.31107316184038,1
"99","L03F6173",0.0469640924931688,1,-0.778275568745014,1
"100","L03F6174",-0.789836550436071,1,-0.48800254981031,1
"101","L03F6175",-1.10075492385841,1,-1.842987125956,1
"102","L03F6176",-1.09629212122483,1,-1.78418119452868,1
"103","L03F6177",-1.47078873949186,1,-2.89098169653591,1
"104","L03F6178",-0.389064737211816,1,-2.01358268047249,1
"105","L03F6179",-0.157116061106912,1,-1.22257078817133,1
"106","L03F6180",-0.302855645889647,1,-1.31440976873649,1
"107","L03F6181",0.0469640910400137,1,-0.607576687416715,1
"108","L03F6182",-1.3036437834382,1,-1.48535108053826,1
"109","L03F6183",-0.736701143768393,1,-1.11081710993378,1
"110","L03F6184",0,1,0.354181972816535,1
"111","L03F6185",1.73004887765155,1,0.183483089614531,1
"112","L03F6186",-0.826255933429027,1,-0.904396258472507,1
"113","L03F6187",0,1,0,1
"114","L03F6188",-0.484408499154918,1,-1.82226929009557,1
"115","L03F6189",-1.30253775923683,1,-3.71288732751469,1
"116","L03F6190",0,1,0,1
"117","L03F6191",0,1,0,1
"118","L03F6192",-1.54292116418651,1,-2.19744833376841,1
"119","L03F6193",-0.69884970208182,1,-1.33797008335192,1
"120","L03F6194",-2.88737455151216,1,-0.70936255720506,1
"121","L03F6195",-0.623291624790212,1,-1.6134914447072,1
"122","L03F6196",-0.312003761951714,1,-0.37967296886399,1
"123","L03F6197",-0.249151556737314,1,-0.153755153140991,1
"124","L03F6198",-0.280736656955147,1,-1.04556389909502,1
"125","L03F6199",-2.13429235803248,1,-1.39782311079925,1
"126","L03F6200",-1.20172860371841,1,-1.09493602303698,1
"127","L03F6201",0.768282163410873,1,-1.44158840131391,1
"128","L03F6202",1.73007022792814,1,1.48639361935604,1
"129","L03F6203",0,1,0.590156776151467,1
"130","L03F6204",-2.48148174783067,1,-3.97002618628896,1
"131","L03F6205",-0.699218362299078,1,0.395354209319801,1
"132","L03F6206",-0.557960591652908,1,-0.13934998049764,1
"133","L03F6207",0.0320869737656781,1,0.0994999449902552,1
"134","L03F6208",-0.097721886571872,1,0.168866576416396,1
"135","L03F6209",-1.84277705025857,1,-0.135461609106681,1
"136","L03F6210",1.99471131269491,1,0.409796250501416,1
"137","L03F6211",1.37722592863511,1,1.88714669628103,0.963030220569269
"138","L03F6212",-1.43899303541459,1,-1.67834244951233,1
"139","L03F6213",0.419154898570434,1,-0.139214331688722,1
"140","L03F6214",-2.03137722747375,1,-2.15813590529595,1
"141","L03F6215",-0.603742721878985,1,-0.565751010353394,1
"142","L03F6216",0,1,1.09297382112347,1
"143","L03F6217",0,1,0,1
"144","L03F6218",0,1,0,1
"145","L03F6219",2.75126536195118,1,1.4849785932149,1
"146","L03F6220",0,1,0,1
"147","L03F6221",0,1,0,1
"148","L03F6222",-1.97955584502673,1,-0.925294017178051,1
