	CTRL_0_R1	CTRL_0_R2	PT1_0_R1	PT1_0_R2	PT1_9.6_R1	PT1_9.6_R2	PT1_15.4_R1	PT1_15.4_R2	PT2_0_R1	PT2_0_R2	PT2_9.6_R1	PT2_9.6_R2	PT2_15.4_R1	PT2_15.4_R2
gene_1	2	14	0	2	13	0	1	5	0	2	12	3	7	9
gene_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene_3	0	0	0	0	1	0	0	0	0	1	1	0	0	0
gene_4	23	61	22	31	34	15	8	38	2	25	84	13	42	50
gene_5	8	30	7	5	6	10	7	28	1	17	38	15	24	33
gene_6	6	9	3	4	0	4	7	16	1	10	19	7	28	16
gene_7	2	7	16	30	5	6	6	52	58	17	61	14	18	3
gene_8	0	4	0	1	4	0	0	13	4	1	2	2	6	2
gene_9	130	537	107	231	98	110	140	567	822	167	1264	270	292	113
gene_10	0	1	2	0	1	0	0	0	0	0	0	0	1	1
gene_11	146	524	100	219	223	140	111	204	42	250	803	218	291	297
gene_12	61	215	50	84	114	93	50	129	21	127	421	117	130	244
gene_13	0	6	0	0	2	0	1	0	0	1	6	1	1	8
gene_14	4	5	4	2	4	1	7	4	0	7	11	6	8	13
gene_15	1	5	0	0	1	0	0	0	0	0	1	0	0	0
